descriptions,General,User,javot
,General,DateTime,7/17/2026 10:46:33 AM
,General,Origin,"Software revision: outputs_asymmetricspring.sdf, outputs_asymmetricspring.rta\nVariable description: outputs_asymmetricspring.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Immediate Recording)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,20.59755245
,Measurement,StartTimestamp,0.6750186704
,Measurement,StopTimestamp,21.27257112
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,20598
trace_types,4,4,4,4,4
trace_names,,Out1,Out1,Out1,Out1
trace_units,,,,,
devices,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService
description,,,,,
displayidentifier,,,,,
path,,Model Root/Divide,Model Root/Subsystem2/curr2torque,Model Root/Subsystem2/Shift,Model Root/Subsystem2/Shift1
flags,,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity
,16.981455776318359,270.8404541015625,0,0,0
,16.982455723034668,270.823974609375,0,0,0
,16.983456549780271,270.8074951171875,0,0,0
,16.984456256494141,270.791015625,0,0,0
,16.985456523217774,270.7745361328125,0,0,0
,16.986456509936524,270.758056640625,0,0,0
,16.987455936645507,270.7415771484375,0,0,0
,16.988455963366697,270.7196044921875,0,0,0
,16.989456670104978,270.703125,0,0,0
,16.990456576818847,270.692138671875,0,0,0
,16.991456123535155,270.6756591796875,0,0,0
,16.992456150256348,270.6646728515625,0,0,0
,16.993456256982419,270.6536865234375,0,0,0
,16.994456803710936,270.63720703125,0,0,0
,16.995456030407713,270.6207275390625,0,0,0
,16.996456857153319,270.6097412109375,0,0,0
,16.997456203857421,270.59326171875,0,0,0
,16.998456430590821,270.5712890625,0,0,0
,16.999456217297361,270.5548095703125,0,0,0
,17.000456324023435,270.538330078125,0,0,0
,17.001457070764161,270.5218505859375,0,0,0
,17.002457017480467,270.5108642578125,0,0,0
,17.003456444189453,270.4998779296875,0,0,0
,17.004457110925291,270.4888916015625,0,0,0
,17.005456617639158,270.4779052734375,0,0,0
,17.006457164367674,270.4669189453125,0,0,0
,17.007456391064451,270.4559326171875,0,0,0
,17.008457177807617,270.4449462890625,0,0,0
,17.009456444519042,270.4339599609375,0,0,0
,17.01045655123291,270.4229736328125,0,0,0
,17.011456617956544,270.4119873046875,0,0,0
,17.012456684680174,270.4010009765625,0,0,0
,17.013456551403809,270.3900146484375,0,0,0
,17.014457418139649,270.3790283203125,0,0,0
,17.015457444860839,270.3680419921875,0,0,0
,17.016456791564941,270.3570556640625,0,0,0
,17.017457458300779,270.3515625,0,0,0
,17.018456805004881,270.340576171875,0,0,0
,17.019456831726075,270.3350830078125,0,0,0
,17.020457538464356,270.3240966796875,0,0,0
,17.021457565197753,270.318603515625,0,0,0
,17.022456951892089,270.3131103515625,0,0,0
,17.023457018615723,270.3076171875,0,0,0
,17.024457645361327,270.3021240234375,0,0,0
,17.025457672082517,270.296630859375,0,0,0
,17.026456898779298,270.2911376953125,0,0,0
,17.027457125500487,270.2911376953125,0,0,0
,17.028457032226562,270.28564453125,0,0,0
,17.029457018945312,270.2801513671875,0,0,0
,17.030457765686034,270.274658203125,0,0,0
,17.031457272387694,270.274658203125,0,0,0
,17.032457739123533,270.2691650390625,0,0,0
,17.033457085827635,270.263671875,0,0,0
,17.034457912573242,270.263671875,0,0,0
,17.035457899291991,270.2581787109375,0,0,0
,17.036457125988768,270.2581787109375,0,0,0
,17.037457392712401,270.2581787109375,0,0,0
,17.038457379443358,270.2581787109375,0,0,0
,17.039458006176758,270.2581787109375,0,0,0
,17.040457312878416,270.252685546875,0,0,0
,17.04145733959961,270.252685546875,0,0,0
,17.042458166345213,270.252685546875,0,0,0
,17.043458073059082,270.252685546875,0,0,0
,17.044457459765624,270.252685546875,0,0,0
,17.045457446484374,270.252685546875,0,0,0
,17.04645823322754,270.252685546875,0,0,0
,17.047458139941405,270.252685546875,0,0,0
,17.04845828666992,270.252685546875,0,0,0
,17.049458233386229,270.252685546875,0,0,0
,17.050458300109863,270.252685546875,0,0,0
,17.051458246826172,270.252685546875,0,0,0
,17.05245775354004,270.252685546875,0,0,0
,17.053457740258789,270.252685546875,0,0,0
,17.054458406994627,270.252685546875,0,0,0
,17.055458073706053,270.252685546875,0,0,0
,17.056458380444337,270.252685546875,0,0,0
,17.057457807141112,270.252685546875,0,0,0
,17.058458473876954,270.252685546875,0,0,0
,17.059457940588377,270.252685546875,0,0,0
,17.060458527319334,270.252685546875,0,0,0
,17.061457874023436,270.252685546875,0,0,0
,17.062458660766602,270.252685546875,0,0,0
,17.063458607495118,270.252685546875,0,0,0
,17.064457954187009,270.252685546875,0,0,0
,17.065458140917968,270.252685546875,0,0,0
,17.066458727648925,270.252685546875,0,0,0
,17.067458074353027,270.252685546875,0,0,0
,17.068458821093749,270.252685546875,0,0,0
,17.069458567810059,270.252685546875,0,0,0
,17.070458194519041,270.252685546875,0,0,0
,17.071458941259763,270.252685546875,0,0,0
,17.072458807983399,270.252685546875,0,0,0
,17.073458834704589,270.252685546875,0,0,0
,17.074458261413575,270.252685546875,0,0,0
,17.075458208129881,270.2581787109375,0,0,0
,17.076458474853514,270.2581787109375,0,0,0
,17.077458421569823,270.2581787109375,0,0,0
,17.078459088317871,270.2581787109375,0,0,0
,17.079459195031738,270.2581787109375,0,0,0
,17.080458341735838,270.2581787109375,0,0,0
,17.081459128479004,270.2581787109375,0,0,0
,17.08245855517578,270.2581787109375,0,0,0
,17.083458541906737,270.2581787109375,0,0,0
,17.084459248645018,270.2581787109375,0,0,0
,17.085459315368652,270.2581787109375,0,0,0
,17.086458462060545,270.2581787109375,0,0,0
,17.087458608789063,270.2581787109375,0,0,0
,17.088459315527341,270.2581787109375,0,0,0
,17.089459342248535,270.2581787109375,0,0,0
,17.090458688952637,270.2581787109375,0,0,0
,17.091458755676268,270.2581787109375,0,0,0
,17.09245950241699,270.2581787109375,0,0,0
,17.09345872911377,270.2581787109375,0,0,0
,17.094459515856933,270.2581787109375,0,0,0
,17.095458902563475,270.2581787109375,0,0,0
,17.096459489294432,270.2581787109375,0,0,0
,17.097458795996094,270.2581787109375,0,0,0
,17.0984596227417,270.2581787109375,0,0,0
,17.099459569458006,270.2581787109375,0,0,0
,17.100458996166992,270.2581787109375,0,0,0
,17.101459022888182,270.2581787109375,0,0,0
,17.102459729626464,270.2581787109375,0,0,0
,17.103459716345213,270.2581787109375,0,0,0
,17.104459103051756,270.2581787109375,0,0,0
,17.105459129772949,270.2581787109375,0,0,0
,17.106459796508787,270.2581787109375,0,0,0
,17.107459863232421,270.2581787109375,0,0,0
,17.108459089929198,270.2581787109375,0,0,0
,17.109459116650388,270.2581787109375,0,0,0
,17.110459743395996,270.2581787109375,0,0,0
,17.111459970117188,270.2581787109375,0,0,0
,17.112459436828612,270.2581787109375,0,0,0
,17.113459223535155,270.2581787109375,0,0,0
,17.114460050280762,270.2581787109375,0,0,0
,17.11545935698242,270.2581787109375,0,0,0
,17.116460103723142,270.2581787109375,0,0,0
,17.117460090441895,270.2581787109375,0,0,0
,17.118459437145994,270.2581787109375,0,0,0
,17.119459503869628,270.2581787109375,0,0,0
,17.120460210607909,270.2581787109375,0,0,0
,17.121459637316892,270.2581787109375,0,0,0
,17.122460184057616,270.2581787109375,0,0,0
,17.123459530761718,270.2581787109375,0,0,0
,17.124460317492677,270.2581787109375,0,0,0
,17.125460344213867,270.2581787109375,0,0,0
,17.126459730920409,270.2581787109375,0,0,0
,17.127459637646485,270.2581787109375,0,0,0
,17.128459864367674,270.2581787109375,0,0,0
,17.129460411108397,270.2581787109375,0,0,0
,17.130459837805176,270.2581787109375,0,0,0
,17.131459824523926,270.2581787109375,0,0,0
,17.132460491271971,270.2581787109375,0,0,0
,17.133460517993164,270.2581787109375,0,0,0
,17.134459824694822,270.2581787109375,0,0,0
,17.135459811413572,270.2581787109375,0,0,0
,17.136460638159178,270.2581787109375,0,0,0
,17.137460584875488,270.2581787109375,0,0,0
,17.138460611596678,270.2581787109375,0,0,0
,17.139460718322752,270.2581787109375,0,0,0
,17.14046058503418,270.2581787109375,0,0,0
,17.141460651757811,270.2581787109375,0,0,0
,17.142460798486326,270.2581787109375,0,0,0
,17.143460825207519,270.2581787109375,0,0,0
,17.144460051904296,270.2581787109375,0,0,0
,17.145460038623046,270.2581787109375,0,0,0
,17.146460305358886,270.2581787109375,0,0,0
,17.147460292077636,270.2581787109375,0,0,0
,17.148460878808592,270.2581787109375,0,0,0
,17.149460225512694,270.2581787109375,0,0,0
,17.150461092260741,270.2581787109375,0,0,0
,17.151460398962403,270.2581787109375,0,0,0
,17.152460945690915,270.2581787109375,0,0,0
,17.153460332397461,270.252685546875,0,0,0
,17.154460399121092,270.252685546875,0,0,0
,17.155460465844726,270.252685546875,0,0,0
,17.156461132580567,270.2471923828125,0,0,0
,17.157461079296873,270.2471923828125,0,0,0
,17.1584605460083,270.2471923828125,0,0,0
,17.159461292749022,270.24169921875,0,0,0
,17.160460559448243,270.2362060546875,0,0,0
,17.161460586169433,270.2362060546875,0,0,0
,17.162461372912595,270.230712890625,0,0,0
,17.163461319628905,270.2252197265625,0,0,0
,17.164460586328126,270.2197265625,0,0,0
,17.165460773059081,270.2142333984375,0,0,0
,17.166461439794922,270.208740234375,0,0,0
,17.167461466516112,270.19775390625,0,0,0
,17.168460813220214,270.1922607421875,0,0,0
,17.169460879943848,270.186767578125,0,0,0
,17.170461506677245,270.17578125,0,0,0
,17.171460813378907,270.1702880859375,0,0,0
,17.172460920104978,270.164794921875,0,0,0
,17.173460986828612,270.1593017578125,0,0,0
,17.174461693566894,270.1483154296875,0,0,0
,17.175461640283203,270.142822265625,0,0,0
,17.176461026989745,270.1373291015625,0,0,0
,17.177461413720703,270.1318359375,0,0,0
,17.178461640454099,270.120849609375,0,0,0
,17.179461107153319,270.1153564453125,0,0,0
,17.180461893896485,270.1043701171875,0,0,0
,17.181461800622557,270.098876953125,0,0,0
,17.182461827343751,270.087890625,0,0,0
,17.183461214038086,270.076904296875,0,0,0
,17.184461920788575,270.06591796875,0,0,0
,17.185461947509765,270.054931640625,0,0,0
,17.186461894226074,270.0439453125,0,0,0
,17.187461240930176,270.032958984375,0,0,0
,17.188461987670898,270.02197265625,0,0,0
,17.189461974389648,270.0054931640625,0,0,0
,17.190462041113282,269.9945068359375,0,0,0
,17.191462027832031,269.9835205078125,0,0,0
,17.192461334533689,269.97802734375,0,0,0
,17.193462041271971,269.967041015625,0,0,0
,17.194462067993165,269.9560546875,0,0,0
,17.195461414697263,269.945068359375,0,0,0
,17.196462081433104,269.93408203125,0,0,0
,17.197461628149412,269.923095703125,0,0,0
,17.198462254882813,269.912109375,0,0,0
,17.199461681591796,269.8956298828125,0,0,0
,17.200462308325193,269.879150390625,0,0,0
,17.201462375048827,269.8626708984375,0,0,0
,17.202462321765136,269.84619140625,0,0,0
,17.203461668469238,269.8297119140625,0,0,0
,17.204461815197753,269.8187255859375,0,0,0
,17.205461761914062,269.80224609375,0,0,0
,17.206462508654784,269.791259765625,0,0,0
,17.207462535375974,269.7802734375,0,0,0
,17.208462522094727,269.769287109375,0,0,0
,17.209461988806151,269.75830078125,0,0,0
,17.210462535534667,269.747314453125,0,0,0
,17.211461802233885,269.7308349609375,0,0,0
,17.212462668981932,269.7198486328125,0,0,0
,17.213462695703125,269.703369140625,0,0,0
,17.214461962402343,269.6868896484375,0,0,0
,17.215462029125977,269.6759033203125,0,0,0
,17.216462735864258,269.659423828125,0,0,0
,17.217462002563476,269.6484375,0,0,0
,17.218462829309082,269.6319580078125,0,0,0
,17.219462216015625,269.6209716796875,0,0,0
,17.220462882751463,269.6099853515625,0,0,0
,17.221462789477538,269.5989990234375,0,0,0
,17.222462296179199,269.58251953125,0,0,0
,17.223462922912596,269.571533203125,0,0,0
,17.224462229614257,269.5550537109375,0,0,0
,17.225462376342772,269.53857421875,0,0,0
,17.226463003076169,269.5166015625,0,0,0
,17.227462309777831,269.5001220703125,0,0,0
,17.228463096520994,269.483642578125,0,0,0
,17.22946304324951,269.4671630859375,0,0,0
,17.230463069970703,269.45068359375,0,0,0
,17.231463056689453,269.4342041015625,0,0,0
,17.232462443395995,269.4232177734375,0,0,0
,17.233462630114744,269.4122314453125,0,0,0
,17.234463216857911,269.395751953125,0,0,0
,17.235462603552246,269.3792724609375,0,0,0
,17.236462550280759,269.36279296875,0,0,0
,17.2374632170166,269.3463134765625,0,0,0
,17.238463363745115,269.329833984375,0,0,0
,17.239463350463865,269.3133544921875,0,0,0
,17.240462697167967,269.296875,0,0,0
,17.241462843884275,269.2803955078125,0,0,0
,17.24246271060791,269.2694091796875,0,0,0
,17.243462777331541,269.2529296875,0,0,0
,17.244463524072266,269.2364501953125,0,0,0
,17.245463630786134,269.2254638671875,0,0,0
,17.246463457507325,269.208984375,0,0,0
,17.247462964221192,269.18701171875,0,0,0
,17.248462830932617,269.1650390625,0,0,0
,17.249462857653807,269.14306640625,0,0,0
,17.250463724401854,269.1265869140625,0,0,0
,17.251463711120604,269.1046142578125,0,0,0
,17.252463657836913,269.0936279296875,0,0,0
,17.253463644555662,269.0771484375,0,0,0
,17.254463871289062,269.0606689453125,0,0,0
,17.255463898010252,269.0496826171875,0,0,0
,17.256463044702148,269.0277099609375,0,0,0
,17.25746379144287,269.01123046875,0,0,0
,17.258463898168944,268.9947509765625,0,0,0
,17.259463844885254,268.9727783203125,0,0,0
,17.260463631604004,268.956298828125,0,0,0
,17.261463978332518,268.9398193359375,0,0,0
,17.262463925048827,268.92333984375,0,0,0
,17.263463231750489,268.9068603515625,0,0,0
,17.264464018493651,268.890380859375,0,0,0
,17.265463485205078,268.87939453125,0,0,0
,17.266464071936035,268.857421875,0,0,0
,17.267463498645018,268.8409423828125,0,0,0
,17.268464045373534,268.8189697265625,0,0,0
,17.269464232104493,268.79150390625,0,0,0
,17.270463538806151,268.76953125,0,0,0
,17.271463605529785,268.7530517578125,0,0,0
,17.272463552246094,268.736572265625,0,0,0
,17.273463618969725,268.7200927734375,0,0,0
,17.274464245703125,268.7091064453125,0,0,0
,17.275463592407224,268.6871337890625,0,0,0
,17.27646433914795,268.670654296875,0,0,0
,17.277463765856933,268.648681640625,0,0,0
,17.278463992590332,268.6322021484375,0,0,0
,17.27946413930664,268.6102294921875,0,0,0
,17.280463806018066,268.59375,0,0,0
,17.281464352758789,268.5772705078125,0,0,0
,17.282463859460449,268.560791015625,0,0,0
,17.283464566198731,268.5443115234375,0,0,0
,17.284464472924803,268.52783203125,0,0,0
,17.285464619641111,268.505859375,0,0,0
,17.286463886352539,268.4893798828125,0,0,0
,17.28746395307617,268.4619140625,0,0,0
,17.288464099792481,268.43994140625,0,0,0
,17.289464126513671,268.41796875,0,0,0
,17.290464753259275,268.4014892578125,0,0,0
,17.291464699975585,268.385009765625,0,0,0
,17.292464206677245,268.3685302734375,0,0,0
,17.293464193395994,268.35205078125,0,0,0
,17.294464900134276,268.330078125,0,0,0
,17.295464846862792,268.3135986328125,0,0,0
,17.296464153564454,268.2916259765625,0,0,0
,17.297464220288084,268.2696533203125,0,0,0
,17.298464967028806,268.253173828125,0,0,0
,17.29946499375,268.2366943359375,0,0,0
,17.30046498046875,268.22021484375,0,0,0
,17.301464927185059,268.2037353515625,0,0,0
,17.302465113916014,268.187255859375,0,0,0
,17.303465060632323,268.1707763671875,0,0,0
,17.304464567333984,268.1488037109375,0,0,0
,17.3054645140625,268.1268310546875,0,0,0
,17.30646454078369,268.1048583984375,0,0,0
,17.307464527502439,268.0828857421875,0,0,0
,17.308465234240721,268.0609130859375,0,0,0
,17.309465020959472,268.04443359375,0,0,0
,17.31046516767578,268.0279541015625,0,0,0
,17.311465194396973,268.011474609375,0,0,0
,17.312465341125488,267.9949951171875,0,0,0
,17.31346468782959,267.978515625,0,0,0
,17.314465394567872,267.95654296875,0,0,0
,17.315465461291502,267.9400634765625,0,0,0
,17.316465368005371,267.9180908203125,0,0,0
,17.317465354724121,267.901611328125,0,0,0
,17.318464861437988,267.8851318359375,0,0,0
,17.319464888159178,267.86865234375,0,0,0
,17.320464994885253,267.8521728515625,0,0,0
,17.321464901599121,267.8411865234375,0,0,0
,17.322465528332518,267.82470703125,0,0,0
,17.323464955041501,267.8082275390625,0,0,0
,17.32446486175537,267.7862548828125,0,0,0
,17.325465608496092,267.7642822265625,0,0,0
,17.326464995202635,267.7423095703125,0,0,0
,17.327465061926269,267.7203369140625,0,0,0
,17.32846576866455,267.703857421875,0,0,0
,17.329465715380859,267.6873779296875,0,0,0
,17.330465062084961,267.6763916015625,0,0,0
,17.331465088806151,267.659912109375,0,0,0
,17.332465875549314,267.64892578125,0,0,0
,17.333465342260741,267.6324462890625,0,0,0
,17.334465128979492,267.615966796875,0,0,0
,17.335465395703125,267.5994873046875,0,0,0
,17.336465982434081,267.5830078125,0,0,0
,17.337465969165038,267.5665283203125,0,0,0
,17.338465915881347,267.550048828125,0,0,0
,17.33946530258789,267.5335693359375,0,0,0
,17.340466009326171,267.51708984375,0,0,0
,17.341466036047361,267.506103515625,0,0,0
,17.342465342749023,267.4951171875,0,0,0
,17.343466169494629,267.484130859375,0,0,0
,17.344466156213379,267.4676513671875,0,0,0
,17.345466102929688,267.4566650390625,0,0,0
,17.346465609631348,267.440185546875,0,0,0
,17.347465636352538,267.418212890625,0,0,0
,17.348466263098143,267.4017333984375,0,0,0
,17.349466369824217,267.38525390625,0,0,0
,17.350466236535645,267.3687744140625,0,0,0
,17.351465583239744,267.352294921875,0,0,0
,17.35246640998535,267.34130859375,0,0,0
,17.353466356701659,267.330322265625,0,0,0
,17.354465663403321,267.3193359375,0,0,0
,17.355465730126951,267.308349609375,0,0,0
,17.356466476867674,267.29736328125,0,0,0
,17.357466463586427,267.2808837890625,0,0,0
,17.358465730285644,267.2698974609375,0,0,0
,17.3594659170166,267.25341796875,0,0,0
,17.360466503747556,267.242431640625,0,0,0
,17.361465850451658,267.2259521484375,0,0,0
,17.362466677197265,267.2149658203125,0,0,0
,17.363466663916014,267.198486328125,0,0,0
,17.364466010620117,267.1875,0,0,0
,17.365466237341309,267.176513671875,0,0,0
,17.366466704077148,267.16552734375,0,0,0
,17.367466010778809,267.154541015625,0,0,0
,17.368466757519531,267.1435546875,0,0,0
,17.369466224230955,267.132568359375,0,0,0
,17.370466050939939,267.12158203125,0,0,0
,17.371466237670898,267.110595703125,0,0,0
,17.372466824401855,267.0941162109375,0,0,0
,17.373466251110838,267.0831298828125,0,0,0
,17.374466997851563,267.066650390625,0,0,0
,17.375466344555662,267.0501708984375,0,0,0
,17.376467011291503,267.03369140625,0,0,0
,17.377467078015137,267.0172119140625,0,0,0
,17.378466384716795,267.0062255859375,0,0,0
,17.37946713145752,266.9952392578125,0,0,0
,17.380467038183593,266.9842529296875,0,0,0
,17.381466504882813,266.9732666015625,0,0,0
,17.382467091625976,266.9622802734375,0,0,0
,17.383466438330078,266.9512939453125,0,0,0
,17.384467225061034,266.9403076171875,0,0,0
,17.385466571765136,266.9293212890625,0,0,0
,17.386467278503417,266.9183349609375,0,0,0
,17.387467265234374,266.9073486328125,0,0,0
,17.388467371948241,266.890869140625,0,0,0
,17.389466718652344,266.8798828125,0,0,0
,17.39046666538086,266.8634033203125,0,0,0
,17.391466652099609,266.8524169921875,0,0,0
,17.39246671882324,266.8414306640625,0,0,0
,17.393466825537107,266.8304443359375,0,0,0
,17.394466892260741,266.8194580078125,0,0,0
,17.395466878979491,266.8084716796875,0,0,0
,17.396467505725095,266.7974853515625,0,0,0
,17.397467492443848,266.7864990234375,0,0,0
,17.398466919152831,266.7755126953125,0,0,0
,17.399466945874021,266.7645263671875,0,0,0
,17.400467572607422,266.7535400390625,0,0,0
,17.401467039318845,266.7425537109375,0,0,0
,17.402467706054686,266.72607421875,0,0,0
,17.403467732775876,266.715087890625,0,0,0
,17.404467599487305,266.6986083984375,0,0,0
,17.405467706213379,266.68212890625,0,0,0
,17.406467852941894,266.6656494140625,0,0,0
,17.407467719653319,266.6546630859375,0,0,0
,17.408467106359861,266.6436767578125,0,0,0
,17.409467213085936,266.6326904296875,0,0,0
,17.410467199804685,266.6217041015625,0,0,0
,17.41146730653076,266.6162109375,0,0,0
,17.412467413244627,266.605224609375,0,0,0
,17.413467999987791,266.59423828125,0,0,0
,17.414467986706541,266.583251953125,0,0,0
,17.415468093432615,266.572265625,0,0,0
,17.416468000146484,266.561279296875,0,0,0
,17.417467386853026,266.55029296875,0,0,0
,17.418467533581541,266.539306640625,0,0,0
,17.419468160314942,266.5283203125,0,0,0
,17.420468187036132,266.517333984375,0,0,0
,17.421467533740234,266.5008544921875,0,0,0
,17.422467520458984,266.4898681640625,0,0,0
,17.423468307202146,266.484375,0,0,0
,17.424468293920899,266.473388671875,0,0,0
,17.425468280639649,266.46240234375,0,0,0
,17.426467587341307,266.451416015625,0,0,0
,17.427467734069822,266.4459228515625,0,0,0
,17.428467800793456,266.4349365234375,0,0,0
,17.429468467529297,266.429443359375,0,0,0
,17.430468374243162,266.41845703125,0,0,0
,17.431468520971677,266.407470703125,0,0,0
,17.432468547692871,266.396484375,0,0,0
,17.433467894396973,266.385498046875,0,0,0
,17.43446856113281,266.37451171875,0,0,0
,17.435467907836912,266.3580322265625,0,0,0
,17.436467974560546,266.3470458984375,0,0,0
,17.437468641296388,266.3360595703125,0,0,0
,17.438468668017578,266.319580078125,0,0,0
,17.439467974719239,266.30859375,0,0,0
,17.44046808144531,266.297607421875,0,0,0
,17.441467988171386,266.2921142578125,0,0,0
,17.442468134887694,266.2811279296875,0,0,0
,17.443468881628416,266.275634765625,0,0,0
,17.444468268334958,266.2646484375,0,0,0
,17.445468935070799,266.2591552734375,0,0,0
,17.446468881799316,266.253662109375,0,0,0
,17.447468868518065,266.24267578125,0,0,0
,17.448468175219727,266.231689453125,0,0,0
,17.449468361938475,266.2261962890625,0,0,0
,17.450468988684083,266.2152099609375,0,0,0
,17.451468415380859,266.2042236328125,0,0,0
,17.452469042126463,266.19873046875,0,0,0
,17.453468428820798,266.187744140625,0,0,0
,17.454468415551759,266.1767578125,0,0,0
,17.455469122290037,266.165771484375,0,0,0
,17.456469069006346,266.15478515625,0,0,0
,17.45746913572998,266.1492919921875,0,0,0
,17.458468562438963,266.1383056640625,0,0,0
,17.459469229174804,266.1328125,0,0,0
,17.460469175891113,266.121826171875,0,0,0
,17.461468522595215,266.1163330078125,0,0,0
,17.46246862932129,266.1053466796875,0,0,0
,17.463469336059571,266.099853515625,0,0,0
,17.464469362780761,266.0943603515625,0,0,0
,17.465468669482419,266.0833740234375,0,0,0
,17.46646933621826,266.077880859375,0,0,0
,17.467468682922362,266.0723876953125,0,0,0
,17.468469389660644,266.0614013671875,0,0,0
,17.469468896374512,266.055908203125,0,0,0
,17.470469043090819,266.044921875,0,0,0
,17.471468709802245,266.0394287109375,0,0,0
,17.472469536547852,266.0284423828125,0,0,0
,17.473469443273924,266.0174560546875,0,0,0
,17.474469750000001,266.0064697265625,0,0,0
,17.475469616711425,265.9954833984375,0,0,0
,17.476468923413083,265.9844970703125,0,0,0
,17.47746975015869,265.9735107421875,0,0,0
,17.478469056860352,265.9625244140625,0,0,0
,17.479469803601074,265.95703125,0,0,0
,17.480469790319823,265.946044921875,0,0,0
,17.481469057019041,265.9405517578125,0,0,0
,17.482469763757322,265.9295654296875,0,0,0
,17.483469870483397,265.924072265625,0,0,0
,17.484469497192382,265.9185791015625,0,0,0
,17.485469843933103,265.9130859375,0,0,0
,17.486469150634765,265.9075927734375,0,0,0
,17.487469377355957,265.8966064453125,0,0,0
,17.488469364074707,265.89111328125,0,0,0
,17.489470070812988,265.8856201171875,0,0,0
,17.490470017529297,265.880126953125,0,0,0
,17.491470004260254,265.869140625,0,0,0
,17.49246943095703,265.8636474609375,0,0,0
,17.493470177697752,265.8526611328125,0,0,0
,17.494469964416503,265.84716796875,0,0,0
,17.49546943112793,265.836181640625,0,0,0
,17.496470177868652,265.8306884765625,0,0,0
,17.497469564562987,265.8197021484375,0,0,0
,17.498469511291503,265.814208984375,0,0,0
,17.499469738012696,265.80322265625,0,0,0
,17.500470364746093,265.7977294921875,0,0,0
,17.501469591455077,265.7867431640625,0,0,0
,17.502469658178711,265.78125,0,0,0
,17.503469804895019,265.7757568359375,0,0,0
,17.504469791613769,265.770263671875,0,0,0
,17.505470458361817,265.7647705078125,0,0,0
,17.506470525085447,265.7537841796875,0,0,0
,17.507470431799316,265.748291015625,0,0,0
,17.508469898510743,265.7427978515625,0,0,0
,17.509470565246581,265.7373046875,0,0,0
,17.510470591967774,265.7318115234375,0,0,0
,17.5114702586792,265.726318359375,0,0,0
,17.512470685412598,265.7208251953125,0,0,0
,17.513469992114256,265.71533203125,0,0,0
,17.514470138830564,265.7098388671875,0,0,0
,17.515470285559083,265.704345703125,0,0,0
,17.516470032275389,265.6988525390625,0,0,0
,17.517470018994139,265.693359375,0,0,0
,17.518470805737305,265.6878662109375,0,0,0
,17.519470192443848,265.6768798828125,0,0,0
,17.520470139160157,265.67138671875,0,0,0
,17.521470925903319,265.6658935546875,0,0,0
,17.522470192602537,265.6549072265625,0,0,0
,17.523470899340818,265.6494140625,0,0,0
,17.524470326049805,265.6439208984375,0,0,0
,17.525470472766113,265.638427734375,0,0,0
,17.526470419494629,265.62744140625,0,0,0
,17.527471046228026,265.6219482421875,0,0,0
,17.528471072949216,265.616455078125,0,0,0
,17.529470339648437,265.6109619140625,0,0,0
,17.530470486376952,265.60546875,0,0,0
,17.531471113110349,265.5999755859375,0,0,0
,17.532470459814451,265.594482421875,0,0,0
,17.533471246557617,265.5889892578125,0,0,0
,17.534471193273927,265.5889892578125,0,0,0
,17.535470579980469,265.58349609375,0,0,0
,17.536470566699219,265.5780029296875,0,0,0
,17.537470753430174,265.5780029296875,0,0,0
,17.538470780151368,265.572509765625,0,0,0
,17.539471286889647,265.5670166015625,0,0,0
,17.540470593591309,265.5670166015625,0,0,0
,17.541470740307616,265.5615234375,0,0,0
,17.542470767028806,265.5615234375,0,0,0
,17.543471473767088,265.5560302734375,0,0,0
,17.544471540490722,265.5560302734375,0,0,0
,17.545470727197266,265.550537109375,0,0,0
,17.546470833911133,265.550537109375,0,0,0
,17.547470900634764,265.5450439453125,0,0,0
,17.548471087365723,265.5450439453125,0,0,0
,17.549471634094239,265.53955078125,0,0,0
,17.550471660827636,265.53955078125,0,0,0
,17.551470927526854,265.5340576171875,0,0,0
,17.552471034240721,265.5340576171875,0,0,0
,17.553471700988769,265.528564453125,0,0,0
,17.554470967687987,265.528564453125,0,0,0
,17.555471834423827,265.528564453125,0,0,0
,17.556471181127929,265.5230712890625,0,0,0
,17.557471727868652,265.5230712890625,0,0,0
,17.558471074572754,265.517578125,0,0,0
,17.559471901318357,265.517578125,0,0,0
,17.560471848034666,265.517578125,0,0,0
,17.561471274743653,265.5120849609375,0,0,0
,17.562471341467283,265.5120849609375,0,0,0
,17.56347192819824,265.5120849609375,0,0,0
,17.564471274902342,265.5120849609375,0,0,0
,17.565472101647948,265.506591796875,0,0,0
,17.566472008361817,265.506591796875,0,0,0
,17.5674714350708,265.506591796875,0,0,0
,17.56847146179199,265.506591796875,0,0,0
,17.569472208532716,265.506591796875,0,0,0
,17.570472195251465,265.5010986328125,0,0,0
,17.571471461950683,265.5010986328125,0,0,0
,17.572471528674317,265.5010986328125,0,0,0
,17.573472315417479,265.5010986328125,0,0,0
,17.574472302136229,265.5010986328125,0,0,0
,17.575471528833006,265.5010986328125,0,0,0
